Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,target
41,0,2,3,0,3,0,36,6,2,2,1636,986,650,0.833,4695,73,0.872,0.603,0
43,0,1,2,2,2,3,31,4,3,3,25824,1170,24654,0.684,3101,73,0.78,0.045,0
50,0,1,2,2,0,0,40,4,2,3,34516,1185,33331,0.725,3874,72,0.7140000000000001,0.034,0
40,0,4,0,0,3,0,31,6,2,3,16050,0,16050,0.77,3721,62,0.512,0,0
44,1,3,1,2,1,0,40,4,1,3,3659,1356,2303,0.715,4861,74,0.762,0.371,0
45,1,0,2,1,4,0,38,4,3,3,4096,1468,2628,0.627,3490,66,0.737,0.358,0
55,0,1,2,1,2,0,36,4,2,3,4666,1275,3391,0.397,1281,28,0.75,0.273,0
54,1,2,3,1,4,0,45,6,1,1,2513,1126,1387,0.324,1454,30,0.25,0.4479999999999999,0
55,1,2,0,1,4,0,45,5,2,4,1850,942,908,0.757,4134,78,0.625,0.509,0
41,1,4,1,2,4,0,36,4,3,4,2687,1317,1370,0.58,4096,76,0.727,0.49,0
49,1,4,0,2,1,0,30,5,3,3,2765,1211,1554,0.736,4629,58,0.706,0.4379999999999999,0
38,0,1,2,1,3,0,28,3,2,3,3946,2375,1571,0.921,1646,43,0.536,0.602,0
53,1,1,5,1,1,0,46,5,2,3,1438.3,0,1438.3,0.743,2118,64,0.455,0,0
41,0,4,4,1,3,0,36,1,2,2,21751,1573,20178,0.878,8332,102,0.569,0.072,0
45,1,3,5,0,4,0,36,5,1,0,2697,2216,481,0.6809999999999999,4063,75,0.7859999999999999,0.8220000000000001,0
56,0,3,5,1,0,0,43,5,1,5,5188,753,4435,0.591,1540,30,0.429,0.145,0
43,1,3,2,1,4,0,31,6,1,3,2639,0,2639,0.892,4892,85,0.7709999999999999,0,0
49,0,4,2,1,3,0,39,6,3,2,17285,1853,15432,0.882,4787,60,0.7140000000000001,0.107,0
46,1,3,2,0,4,0,34,4,2,4,9863,686,9177,0.581,3068,58,0.933,0.07,0
38,0,0,3,1,2,0,31,4,3,3,16565,1200,15365,0.68,16736,99,0.8,0.072,0
53,1,1,2,2,4,0,45,3,1,2,3471,1785,1686,1.051,1052,24,0.7140000000000001,0.514,0
45,1,3,5,1,4,0,33,4,3,1,2740,1786,954,0.597,4327,70,1.3330000000000002,0.652,0
39,1,2,5,1,4,0,30,3,1,3,3108,778,2330,0.645,4130,87,0.706,0.25,0
50,0,1,5,1,2,0,40,6,1,4,4092,996,3096,0.644,2298,48,0.655,0.243,0
49,1,4,3,2,4,3,40,5,3,5,13704,2127,11577,0.805,15872,116,0.6809999999999999,0.155,0
45,0,2,3,1,3,0,34,5,5,2,12518,1539,10979,0.645,1165,33,0.833,0.123,0
42,1,3,2,2,4,0,37,5,3,4,8017,0,8017,0.539,3042,55,0.528,0,0
60,0,1,5,2,2,0,54,1,2,1,3618,972,2646,0.578,4228,63,0.465,0.2689999999999999,0
51,1,3,0,0,1,0,31,6,2,2,2768,1329,1439,0.6990000000000001,4275,78,0.8140000000000001,0.48,0
51,0,2,5,2,2,0,40,4,2,2,21800,893,20907,0.445,3820,62,0.6759999999999999,0.041,0
56,0,3,2,1,2,0,40,3,3,2,20501,561,19940,0.779,15162,99,0.6779999999999999,0.027,0
42,0,3,5,0,2,0,34,2,1,1,2289,1195,1094,0.6509999999999999,4955,83,0.627,0.522,0
39,1,2,2,1,4,0,34,4,5,2,1438.3,859,579.3,0.8079999999999999,4409,72,0.674,0.597,0
56,1,1,2,1,4,0,48,6,2,2,1438.3,0,1438.3,0.706,1336,32,0.882,0,0
31,0,0,3,1,2,3,24,1,1,3,32535,1722,30813,0.856,15738,116,0.657,0.053,0
40,0,2,2,0,2,0,36,5,2,4,8624,0,8624,0.574,2428,53,0.893,0,0
46,1,3,5,2,1,0,36,3,2,2,7020,1784,5236,0.815,16937,116,0.731,0.254,0
38,1,0,2,2,4,0,32,6,3,3,1755,750,1005,0.659,5000,79,0.8370000000000001,0.4270000000000001,0
45,1,4,0,1,4,0,36,2,1,1,2737,0,2737,0.71,7587,80,0.569,0,0
64,1,1,2,2,4,0,56,4,1,1,6723,968,5755,0.8320000000000001,3838,67,0.8109999999999999,0.144,0
34,0,1,3,1,2,0,27,3,1,2,8063,2149,5914,0.722,2042,49,0.69,0.267,0
33,1,2,3,2,4,0,36,4,1,1,8070,2350,5720,1.03,2117,61,0.649,0.291,0
46,0,2,3,1,0,0,36,5,3,2,19727,1785,17942,0.5720000000000001,1245,25,0.7859999999999999,0.09,0
34,0,1,2,1,1,0,36,6,2,3,3735,1285,2450,1.034,1877,33,1.2,0.344,0
52,0,4,2,1,1,0,33,5,2,1,5776,874,4902,0.894,4029,72,0.636,0.151,0
58,1,2,5,1,1,0,53,6,2,3,2019,1380,639,1.158,2005,62,0.59,0.684,0
43,0,4,5,2,1,0,39,5,2,2,6648,2242,4406,0.79,2089,60,0.579,0.337,0
34,0,3,3,1,0,0,25,3,2,4,23959,2517,21442,0.926,1870,45,0.667,0.105,0
54,0,5,0,2,2,0,45,6,1,3,20401,0,20401,0.723,4637,75,0.562,0,0
51,1,3,4,1,4,0,46,5,3,2,5881,2005,3876,0.659,1931,56,0.8059999999999999,0.341,0
48,0,4,2,2,3,0,36,6,4,1,22067,685,21382,0.605,3577,64,0.882,0.031,0
54,1,3,3,1,4,0,41,5,4,4,3161,1220,1941,0.82,2412,62,0.8240000000000001,0.386,0
42,0,4,5,1,1,0,38,1,4,1,2444,0,2444,0.7879999999999999,4220,50,1.1740000000000002,0,0
44,0,3,2,2,1,0,33,3,2,2,2477,2123,354,0.6990000000000001,4349,69,0.725,0.857,0
54,1,1,0,2,4,0,41,5,2,2,3478,941,2537,0.711,4607,83,0.93,0.271,0
40,1,4,2,2,1,0,27,2,2,2,2625,1594,1031,0.544,2480,47,0.5670000000000001,0.607,0
48,1,4,2,1,4,0,21,4,6,0,1930,0,1930,0.815,5033,87,0.5820000000000001,0,0
41,0,4,4,1,2,0,32,5,3,2,18001,906,17095,0.62,1194,25,0.471,0.05,0
55,0,1,0,2,0,0,42,6,2,3,3515,2517,998,1.051,4313,72,0.8,0.716,0
30,1,2,2,2,4,0,18,3,1,4,4199,1903,2296,1.0590000000000002,3016,67,0.763,0.4529999999999999,0
44,0,4,3,2,0,0,37,5,3,3,8396,1672,6724,0.602,1475,35,0.75,0.1989999999999999,0
45,1,3,2,1,1,0,34,4,5,2,1533,728,805,0.906,4659,83,0.7659999999999999,0.475,0
54,1,3,5,2,4,0,36,5,4,2,4542,1355,3187,0.48,4011,70,0.556,0.298,0
37,1,3,5,2,4,0,29,5,3,2,2584,1614,970,0.675,4045,78,0.733,0.625,0
50,1,3,2,1,4,0,37,3,2,4,1438.3,0,1438.3,0.868,3637,80,0.86,0,0
35,0,3,2,2,3,0,25,3,2,3,6510,2055,4455,1.042,2238,49,0.531,0.316,0
50,1,1,2,2,4,0,39,4,5,2,2434,1340,1094,0.6679999999999999,4498,76,0.81,0.551,0
46,1,4,0,1,4,0,38,3,3,3,8881,1865,7016,1.279,2632,54,1.077,0.21,0
47,1,4,3,2,4,0,38,4,1,4,7469,1899,5570,0.999,3150,70,0.489,0.254,0
46,0,3,0,2,3,3,32,2,1,3,34516,1954,32562,0.755,7594,69,0.725,0.057,0
47,0,4,3,1,1,0,40,4,2,3,2498,2258,240,0.992,1839,29,0.706,0.904,0
55,1,1,0,2,4,3,36,3,1,3,12633,1661,10972,0.718,14378,98,0.69,0.131,0
35,1,1,3,1,4,0,28,6,0,2,1438.3,977,461.3,1.189,4840,85,1.073,0.679,0
39,0,3,3,1,2,0,27,6,2,1,2583,0,2583,0.7809999999999999,4162,87,0.812,0,0
40,0,5,3,2,1,0,20,5,2,1,2984,1879,1105,0.675,4813,83,0.7290000000000001,0.63,0
43,0,1,3,1,2,0,36,1,2,3,4255,1729,2526,0.55,3607,75,0.471,0.406,0
37,1,4,3,0,1,0,22,5,1,3,2563,1638,925,0.6809999999999999,2064,46,0.917,0.639,0
56,0,1,1,1,2,0,46,5,2,4,5248,1816,3432,0.696,2305,45,0.731,0.346,0
37,1,1,2,2,4,0,36,3,3,3,2684,0,2684,0.66,4796,85,0.635,0,0
26,0,0,5,2,4,0,36,4,3,4,2665,1567,1098,0.586,2514,64,0.455,0.588,0
45,0,3,3,2,2,0,35,5,3,3,7050,659,6391,0.52,1236,36,1,0.093,0
49,0,4,5,1,3,0,39,2,3,2,8561,915,7646,0.637,7341,79,0.491,0.107,0
26,1,1,3,2,4,0,15,5,3,3,2539,2162,377,0.635,2386,47,0.382,0.852,0
38,1,3,5,2,4,0,33,5,3,2,2206,2018,188,0.648,1739,35,0.667,0.915,0
36,0,3,2,1,2,3,13,4,3,2,28174,1173,27001,0.779,16258,108,0.7140000000000001,0.042,0
57,1,1,2,1,4,0,46,4,3,2,3638,0,3638,0.8370000000000001,16469,115,0.667,0,0
51,1,2,2,2,4,0,36,4,3,1,4970,1591,3379,0.738,5023,78,0.733,0.32,0
55,0,2,2,2,3,0,46,5,5,2,4994,0,4994,0.7170000000000001,4802,81,0.7609999999999999,0,0
33,1,3,2,1,4,0,25,4,1,4,3030,2517,513,0.785,1805,44,0.467,0.831,0
45,0,4,2,2,3,0,36,6,3,1,8063,1485,6578,0.872,4275,77,0.833,0.184,0
46,1,3,2,1,4,0,35,3,3,4,7578,1794,5784,0.62,5328,78,0.625,0.237,0
49,0,3,3,1,2,0,39,4,1,4,9264,629,8635,0.659,4107,79,0.58,0.068,0
51,0,2,2,1,3,0,34,5,4,1,13587,2374,11213,0.789,4995,88,0.6920000000000001,0.175,0
50,1,2,3,2,4,0,46,5,3,2,8708,996,7712,0.527,3927,60,0.935,0.114,0
47,1,2,2,2,4,0,36,3,3,3,2677,1390,1287,0.732,2170,63,0.465,0.519,0
44,0,3,0,1,1,0,30,2,3,3,9317,847,8470,0.765,4121,81,0.723,0.091,0
53,0,1,2,1,3,0,38,6,3,2,22140,733,21407,0.987,1580,45,0.667,0.033,0
33,1,4,0,1,1,0,26,1,2,3,2874,2517,357,0.73,4794,88,0.6,0.8759999999999999,0
47,1,1,5,2,4,0,36,5,2,3,1438.3,735,703.3,0.762,4220,87,0.6729999999999999,0.511,0
40,1,3,5,1,4,0,35,5,2,4,3140,2183,957,0.58,5109,78,0.733,0.695,0
48,1,3,3,2,1,0,30,5,2,1,2657,2115,542,0.688,3580,77,0.711,0.7959999999999999,0
46,1,2,2,2,4,0,30,3,1,0,5494,2142,3352,1.014,8328,78,0.733,0.39,0
37,0,5,4,1,3,0,26,2,1,2,16730,1956,14774,0.675,1740,43,0.536,0.1169999999999999,0
53,1,4,2,2,4,0,46,4,1,2,4117,777,3340,0.5920000000000001,5218,88,0.6,0.1889999999999999,0
54,1,1,3,1,4,0,44,3,3,3,3947,1746,2201,0.478,1110,21,0.4,0.442,0
45,0,3,1,2,2,3,34,3,3,1,27494,879,26615,0.6709999999999999,14375,112,0.672,0.032,0
44,0,3,3,2,0,3,36,1,2,2,34516,1106,33410,0.7759999999999999,7936,76,0.767,0.032,0
46,1,3,0,0,4,0,38,1,1,3,1774,1115,659,0.6859999999999999,3474,60,0.667,0.629,0
39,1,0,0,2,4,0,36,1,2,2,4366,1870,2496,0.8140000000000001,15451,127,0.764,0.428,0
45,0,5,2,1,1,3,39,3,1,5,15198,2098,13100,0.8,3183,64,0.73,0.138,0
42,0,3,3,2,1,0,37,3,3,3,2247,1045,1202,0.952,1300,31,0.55,0.465,0
37,1,2,3,1,4,0,27,6,6,2,3148,0,3148,0.498,1401,31,0.722,0,0
48,1,2,1,1,1,0,34,3,1,4,5069,1843,3226,0.826,4055,66,0.6920000000000001,0.364,0
42,1,2,5,1,4,0,28,1,2,3,2573,1742,831,0.693,4649,88,0.76,0.677,0
51,0,1,5,2,0,0,36,2,1,3,8671,590,8081,0.693,4399,72,0.7559999999999999,0.068,0
40,1,3,0,2,4,0,22,4,2,4,3372,2517,855,0.7290000000000001,4209,72,0.7559999999999999,0.746,0
36,1,1,2,1,4,0,22,5,2,3,1438.3,790,648.3,0.615,3959,59,0.735,0.5489999999999999,0
41,1,2,3,1,1,0,26,5,1,2,1438.3,0,1438.3,0.66,4300,67,0.675,0,0
41,1,3,3,2,1,0,31,3,3,2,1438.3,913,525.3,0.981,4300,68,0.619,0.635,0
44,0,3,2,1,2,0,36,1,2,3,3384,799,2585,0.737,13152,100,0.754,0.236,0
53,0,4,2,2,3,0,33,5,3,3,5376,1177,4199,0.939,1840,53,0.606,0.2189999999999999,0
38,1,1,1,1,4,0,28,6,1,1,1438.3,0,1438.3,0.813,4475,74,0.644,0,0
44,0,4,3,2,2,1,29,1,2,1,34516,1930,32586,0.615,12478,97,0.764,0.056,0
50,0,4,0,0,2,0,44,4,2,3,13911,2160,11751,0.73,2204,60,0.667,0.155,0
51,1,1,0,1,4,0,42,4,2,2,2431,0,2431,0.8859999999999999,3323,65,1.097,0,0
47,1,4,0,1,4,0,38,3,1,2,2633,1924,709,0.8059999999999999,3407,66,0.535,0.731,0
48,1,3,4,1,1,0,37,4,1,2,6725,493,6232,0.72,13891,106,0.606,0.073,0
54,0,1,5,2,0,0,36,5,1,2,34516,0,34516,0.452,3918,67,1.094,0,0
45,1,3,2,2,4,0,36,5,2,3,4753,0,4753,0.856,3895,71,0.578,0,0
50,1,1,0,2,4,0,45,4,2,4,4785,1965,2820,0.8,3651,59,0.5529999999999999,0.411,0
42,1,2,4,0,4,0,26,5,2,3,2120,1527,593,0.7440000000000001,4741,86,0.72,0.72,0
50,1,4,3,0,4,0,43,6,3,4,5908,0,5908,0.8220000000000001,3313,72,0.7559999999999999,0,0
41,0,3,3,0,2,0,33,2,2,2,20749,2171,18578,0.8420000000000001,4754,77,0.674,0.105,0
48,0,2,3,1,1,0,29,3,2,1,6168,2371,3797,0.6679999999999999,4303,80,0.509,0.384,0
33,1,4,0,0,4,0,24,6,2,2,9857,0,9857,0.6990000000000001,3448,103,0.635,0,0
34,0,2,2,1,1,0,17,6,2,1,3323,1062,2261,0.7290000000000001,4610,78,0.773,0.32,0
39,0,1,2,1,4,3,30,4,3,3,14135,630,13505,0.64,13703,99,0.768,0.045,0
42,0,2,5,2,3,0,37,3,3,4,19366,1592,17774,0.679,3627,66,1,0.082,0
48,1,2,2,2,4,0,38,2,1,2,8881,1901,6980,0.8079999999999999,15530,110,0.6920000000000001,0.214,0
51,1,3,5,1,4,0,43,4,3,2,2882,0,2882,0.722,4446,68,0.7440000000000001,0,0
58,0,2,3,2,2,3,49,4,3,3,30186,0,30186,0.606,4070,74,0.574,0,0
43,1,2,3,2,4,0,36,4,3,2,2325,1662,663,0.8,4471,83,0.804,0.715,0
40,0,3,2,2,1,0,30,6,3,3,2583,2235,348,0.508,4500,83,0.509,0.865,0
47,1,4,1,2,4,0,36,3,2,2,2765,901,1864,0.898,4990,80,0.905,0.326,0
35,0,0,1,2,2,0,18,6,2,3,2598,1645,953,0.765,2483,59,0.903,0.633,0
54,0,1,5,2,2,0,48,5,2,3,14948,2158,12790,0.8440000000000001,3094,56,1,0.144,0
49,0,4,2,2,1,0,42,3,3,2,2822,1501,1321,1.043,4344,68,1.194,0.532,0
29,1,1,5,1,4,0,18,3,3,3,1895,1146,749,0.685,4333,72,0.7140000000000001,0.605,0
36,0,4,2,2,3,0,36,5,3,2,10216,1822,8394,0.778,2568,69,0.6829999999999999,0.178,0
46,1,3,2,1,4,0,36,3,2,3,4416,1333,3083,0.631,4894,84,0.647,0.302,0
43,0,4,2,2,2,0,25,3,2,4,13193,1749,11444,0.6709999999999999,4071,64,0.73,0.133,0
45,1,3,5,0,1,0,36,3,2,4,4209,1300,2909,0.75,16078,105,0.615,0.309,0
41,0,3,5,1,3,0,31,4,2,2,4740,1348,3392,0.472,1406,23,0.5329999999999999,0.284,0
58,1,1,3,1,4,0,43,4,1,4,1957,1152,805,0.899,4546,78,0.5,0.589,0
40,1,2,4,1,4,0,32,3,3,0,2107,941,1166,0.975,4858,73,0.738,0.447,0
48,0,2,3,1,4,3,36,2,2,2,14581,2517,12064,0.7759999999999999,17628,109,0.8170000000000001,0.173,0
43,1,4,2,1,4,0,32,6,3,1,2624,1117,1507,0.826,3929,67,0.595,0.426,0
37,1,4,3,2,4,0,36,6,2,3,1438.3,0,1438.3,0.568,4815,84,0.787,0,0
61,0,0,4,2,1,3,42,4,3,2,15939,0,15939,0.7909999999999999,3982,68,0.943,0,0
57,0,2,3,1,2,0,38,3,1,2,2736,1822,914,0.593,1211,25,0.923,0.6659999999999999,0
53,0,3,5,1,1,0,40,6,3,3,3326,1442,1884,0.711,1627,54,1.077,0.434,0
39,0,3,2,2,2,0,29,4,2,3,6733,1028,5705,0.5529999999999999,4444,72,0.565,0.153,0
40,0,3,3,1,2,0,28,2,3,1,11476,2365,9111,0.65,8110,113,0.7659999999999999,0.206,0
45,0,2,5,1,3,0,37,3,1,1,32275,1845,30430,0.841,14917,88,0.7959999999999999,0.057,0
57,1,3,2,0,1,0,47,1,3,2,4262,2517,1745,0.682,3943,75,0.7440000000000001,0.591,0
42,0,3,2,1,4,0,36,2,2,1,6153,974,5179,0.703,7434,92,0.586,0.158,0
37,1,2,4,1,4,0,36,6,2,3,2310,1513,797,0.682,4191,77,0.833,0.655,0
42,1,3,3,2,1,0,30,4,2,3,10136,0,10136,0.428,4429,78,0.472,0,0
51,0,4,3,2,1,0,36,2,2,4,10017,1850,8167,0.622,15635,116,0.6809999999999999,0.185,0
55,1,2,2,2,4,0,43,1,3,1,1745,1168,577,0.701,4562,67,0.634,0.669,0
31,0,1,5,1,1,0,24,5,2,3,1438.3,0,1438.3,0.665,2308,49,0.4,0,0
45,1,4,0,1,4,0,36,5,1,2,3349,2517,832,0.7859999999999999,4405,55,1.391,0.752,0
49,1,4,1,2,4,0,42,5,1,4,7789,957,6832,0.7240000000000001,3412,70,0.8420000000000001,0.123,0
52,0,1,3,0,0,0,36,4,3,5,31945,1591,30354,0.711,3650,62,0.6759999999999999,0.05,0
56,0,2,2,1,3,0,51,3,3,3,12186,1080,11106,0.8420000000000001,4785,66,0.65,0.089,0
38,1,2,2,2,4,0,25,5,1,2,9874,1059,8815,0.664,4369,70,0.7070000000000001,0.107,0
51,1,3,2,2,4,0,36,1,3,1,3276,1474,1802,0.759,14212,116,0.6809999999999999,0.45,0
42,1,1,2,2,4,0,36,4,3,1,3595,1904,1691,0.8909999999999999,5025,84,0.647,0.53,0
36,1,1,5,2,4,0,30,6,1,2,5494,2078,3416,0.79,2661,58,0.871,0.3779999999999999,0
40,1,2,2,2,4,0,36,6,2,2,1538,0,1538,0.706,4884,79,0.8809999999999999,0,0
32,1,3,3,1,4,0,22,4,2,4,4561,2029,2532,0.768,1874,38,0.52,0.445,0
39,0,2,2,1,3,0,34,6,3,2,17438,0,17438,1.078,1860,37,0.85,0,0
39,0,1,2,2,0,0,24,6,2,4,10074,2517,7557,0.77,1729,52,0.926,0.25,0
41,1,1,0,1,4,0,32,6,3,3,2225,0,2225,1.06,4917,84,0.75,0,0
54,0,2,2,1,4,0,39,4,4,2,2702,2517,185,1.019,1658,32,1.462,0.932,0
42,0,2,2,1,3,3,31,2,1,3,34516,1356,33160,0.71,12878,104,0.825,0.039,0
44,1,1,0,1,4,0,33,5,1,3,1522,0,1522,0.7829999999999999,4835,70,0.489,0,0
59,0,0,2,2,1,0,48,4,2,2,1638,0,1638,0.5329999999999999,1536,44,0.63,0,0
43,0,3,5,1,3,0,36,6,1,2,28634,926,27708,0.622,4549,68,0.659,0.032,0
30,0,0,3,1,0,0,13,3,1,4,9007,1965,7042,0.698,1925,42,0.4479999999999999,0.218,0
53,0,3,5,2,3,0,36,4,3,1,2611,787,1824,0.298,2955,56,0.6,0.301,0
40,1,4,5,1,4,0,36,4,1,2,5056,1067,3989,0.7490000000000001,15926,117,0.519,0.211,0
32,0,1,5,1,1,0,36,2,2,3,3535,1964,1571,0.6609999999999999,14080,85,0.809,0.556,0
37,1,2,2,1,4,0,32,6,1,3,1438.3,0,1438.3,0.7070000000000001,4733,89,0.816,0,0
40,1,4,0,1,1,0,24,5,3,2,2606,1818,788,0.703,1999,50,1.1740000000000002,0.698,0
44,1,2,0,2,4,0,34,3,2,1,2429,1687,742,0.7659999999999999,4122,74,0.85,0.695,0
47,0,1,2,1,2,0,37,6,3,0,2053,0,2053,0.865,1283,28,1.154,0,0
65,0,0,1,0,4,0,56,6,1,3,1573,653,920,0.71,3349,77,0.674,0.415,0
48,0,3,0,1,1,0,34,2,2,1,1913,1405,508,0.6990000000000001,7265,80,0.905,0.7340000000000001,0
49,0,3,2,1,4,0,36,3,3,5,2976,1817,1159,0.7390000000000001,3332,60,0.667,0.611,0
43,0,2,3,1,2,0,37,1,3,3,2600,2047,553,0.7490000000000001,8804,111,0.682,0.787,0
53,1,2,2,1,1,0,38,3,2,1,1989,1003,986,0.677,5070,70,0.75,0.504,0
39,1,3,3,1,1,0,21,1,2,1,5027,0,5027,0.853,4850,70,0.75,0,0
52,1,2,2,1,1,0,36,5,3,1,2396,1663,733,0.645,4569,70,0.667,0.6940000000000001,0
51,1,1,2,1,1,0,43,2,2,2,2107,1663,444,0.7120000000000001,4841,88,0.725,0.789,0
49,0,3,3,1,2,0,29,4,3,1,1438.3,535,903.3,0.6779999999999999,3016,80,0.7390000000000001,0.3720000000000001,0
63,0,1,2,1,1,0,53,6,6,2,2880,2362,518,0.89,1323,26,0.444,0.82,0
61,0,0,5,2,1,0,49,1,2,3,2228,1480,748,0.5329999999999999,4431,71,0.6509999999999999,0.664,0
26,1,0,5,2,4,0,20,4,3,4,1438.3,0,1438.3,0.764,2731,39,0.5,0,0
59,1,0,1,2,4,0,36,3,1,2,1438.3,0,1438.3,0.691,1904,47,0.382,0,0
51,0,2,1,2,1,0,40,4,3,3,6492,719,5773,0.711,4828,78,0.529,0.111,0
54,0,3,2,1,3,0,49,2,3,3,11114,2482,8632,1.08,5044,81,0.688,0.223,0
37,1,0,4,1,4,0,25,4,3,2,2061,1483,578,1.362,2400,60,0.622,0.72,0
39,0,2,2,1,2,0,23,5,2,1,4761,1561,3200,0.69,2045,53,1.65,0.3279999999999999,0
41,0,3,0,2,2,0,28,6,3,0,5841,2463,3378,1.047,3817,81,0.7609999999999999,0.422,0
54,1,2,0,2,4,0,36,1,3,3,2274,708,1566,0.677,7735,74,0.682,0.311,0
49,0,2,2,0,2,0,36,5,3,2,4596,0,4596,0.93,2872,62,0.722,0,0
44,0,1,2,2,2,0,37,3,1,4,16739,1229,15510,0.4970000000000001,4014,69,0.568,0.073,0
42,0,3,2,2,2,0,32,6,2,2,1438.3,0,1438.3,0.66,1794,45,0.875,0,0
38,0,3,0,2,2,3,32,4,2,2,30082,1671,28411,0.7070000000000001,15240,126,0.8,0.056,0
49,0,2,3,1,3,0,36,4,3,1,3989,2514,1475,0.469,5189,82,0.519,0.63,0
57,1,2,4,2,1,0,36,3,4,2,4784,1629,3155,0.706,4912,82,0.7829999999999999,0.341,0
64,0,1,2,2,4,0,45,5,3,2,4417,0,4417,0.904,4253,72,0.895,0,0
49,1,0,2,1,4,0,30,3,2,0,1604,1112,492,0.618,4253,68,0.7440000000000001,0.693,0
43,1,3,2,1,4,3,36,6,2,2,11392,0,11392,0.821,3246,63,0.703,0,0
57,0,1,5,1,0,0,36,6,2,3,24545,1735,22810,0.664,1671,45,0.5,0.071,0
34,0,1,0,1,2,0,23,3,2,2,5510,1604,3906,0.551,1995,53,0.262,0.291,0
40,1,4,2,2,4,0,30,4,2,2,2558,0,2558,0.728,4635,82,0.64,0,0
57,0,1,1,1,3,0,51,5,2,2,8571,1616,6955,0.6,1397,28,0.647,0.1889999999999999,0
57,1,3,3,2,4,0,46,1,2,2,2298,1540,758,0.708,5154,81,0.976,0.67,0
49,1,3,3,1,1,0,44,5,1,2,3881,0,3881,0.601,4177,66,0.737,0,0
31,1,0,2,1,4,0,21,4,1,4,6315,1305,5010,0.542,2205,43,0.265,0.207,0
48,0,4,5,1,3,0,37,5,6,3,30948,2404,28544,0.609,1511,35,0.207,0.078,0
44,0,5,3,2,3,0,37,4,2,3,15638,1729,13909,0.843,4396,83,0.5660000000000001,0.111,0
43,1,2,2,1,4,0,36,6,3,2,2570,2107,463,0.6509999999999999,4058,83,0.7659999999999999,0.82,0
43,1,2,5,2,4,0,36,5,2,4,1736,1513,223,0.8290000000000001,3462,67,0.5579999999999999,0.872,0
39,0,3,1,1,2,0,29,3,1,3,3537,2517,1020,1.021,1605,43,0.344,0.7120000000000001,0
47,0,3,3,1,1,0,41,6,3,4,6692,1897,4795,1.035,3902,76,0.6890000000000001,0.283,0
46,0,4,2,2,2,0,27,3,3,2,21839,960,20879,0.5660000000000001,5623,94,0.516,0.044,0
49,0,2,3,2,0,0,42,3,2,4,21144,1190,19954,0.5,4895,66,0.784,0.056,0
49,0,4,3,1,3,0,40,2,3,2,7667,2191,5476,0.682,7886,94,0.679,0.286,0
45,1,3,3,1,4,0,35,2,2,1,2548,2250,298,0.581,4747,77,0.7909999999999999,0.883,0
55,1,1,3,2,4,0,37,4,3,3,2376,1969,407,0.7879999999999999,4301,79,1.026,0.8290000000000001,0
55,1,1,3,1,4,0,36,5,1,1,2747,0,2747,0.8340000000000001,5032,84,0.68,0,0
58,1,3,2,1,4,0,47,1,2,1,6765,0,6765,0.7390000000000001,14133,124,0.7709999999999999,0,0
50,1,2,0,0,4,0,36,3,2,3,3462,1817,1645,0.7170000000000001,4635,65,0.711,0.525,0
53,1,0,2,2,4,0,34,5,2,1,1944,1140,804,0.5820000000000001,4921,82,0.907,0.586,0
49,1,2,3,1,1,0,40,5,3,2,3263,1522,1741,0.58,4288,69,0.725,0.466,0
50,0,1,2,1,2,0,34,6,3,4,4702,0,4702,0.578,1673,44,0.257,0,0
43,0,3,2,1,0,0,36,3,2,2,22906,1132,21774,0.942,3204,64,0.73,0.049,0
40,1,4,4,2,1,0,28,2,1,2,11642,1501,10141,0.935,9137,92,0.586,0.129,0
50,0,2,0,1,2,0,37,4,1,2,4743,1687,3056,0.957,3739,55,0.618,0.356,0
57,0,2,5,1,2,0,47,4,4,1,5100,1970,3130,0.371,1032,26,0.368,0.386,0
41,0,4,0,1,3,0,22,1,2,3,5037,1670,3367,0.787,4379,67,0.8109999999999999,0.332,0
45,0,4,2,2,1,3,37,4,3,4,15578,0,15578,0.716,4449,81,0.723,0,0
45,1,4,4,2,1,0,35,3,5,2,1850,621,1229,0.682,4234,74,0.682,0.336,0
47,1,3,2,2,4,0,36,5,1,3,2049,1460,589,0.599,3514,79,0.6459999999999999,0.713,0
52,1,3,5,2,4,0,44,3,3,2,2300,1598,702,0.813,4287,84,0.7140000000000001,0.695,0
47,1,4,2,1,4,0,37,4,3,3,3189,1863,1326,0.77,4805,76,0.949,0.584,0
35,1,3,2,1,4,0,21,3,1,1,2272,604,1668,0.987,4614,75,0.974,0.266,0
57,0,2,4,0,2,0,51,2,3,3,5479,1200,4279,0.7979999999999999,7960,86,0.4579999999999999,0.2189999999999999,0
53,0,5,2,2,0,1,36,2,4,1,34516,2088,32428,0.8220000000000001,15290,123,0.732,0.06,0
44,1,2,2,0,1,0,36,1,1,2,3107,1995,1112,0.6679999999999999,7535,87,0.6729999999999999,0.642,0
32,1,3,2,2,4,0,36,3,1,3,3555,0,3555,0.813,2346,71,0.6509999999999999,0,0
